brand,processor_brand,processor_name,graphic,ram_gb,ram_type,ssd,hdd,os,os_bit,camera,audio_speaker,battery,weight,display_size,msoffice,price,old_price,discount,star_rating,terjual,reviews
Lenovo Ideapad Slim 1,AMD,Ryzen 3,missing,8 GB GB,DDR5,256 GB,0 GB,windows 11,64 bit,HD 720p,Stereo speakers Dolby Audio,42 Wh,4 kg,14 FHD,yes,"Rp6,699,000","Rp7,499,000",11,4,30,30
Lenovo Ideapad Slim 3,AMD,Athlon Silver,missing,4 GB GB,DDR4,256 GB,0 GB,windows 11,64 bit,HD 720p,Stereo speakers Dolby Audio,35 Wh,4 kg,14 FHD,yes,"Rp4,499,000","Rp6,299,000",29,4,29,500
Lenovo IdeaPad Gaming 3,AMD,Ryzen 7 6800H,NVIDIA GEForce RTX,8 GB GB,DDR5,128 GB,0 GB,windows 11,64 bit,HD 720p,Stereo speakers Nahimic Audio,45 Wh,6 kg,16 FHD,yes,"Rp15,999,000","Rp18,599,000",14,5,0,10
Lenovo Legion 5i Pro,Intel,Core i7,NVIDIA GeForce RTX,16 GB GB,DDR5,0 GB,0 GB,windows 11,64 bit,HD 720p,Stereo speakers Nahimic Audio,80 Wh,8 kg,16 FHD,yes,"Rp31,999,000","Rp34,999,000",9,5,30,10
Lenovo K14,Intel,Core i7,Integrated Intel Iris Xe Graphics functions as UHD Graphics,8 GB GB,DDR4,512 GB,0 GB,windows 11,64 bit,HD 720p,Realtek codec Stereo speakers optimized with Dolby Audio,45 Wh,5 kg,14 FHD,yes,"Rp9,889,000","Rp10,499,000",6,4,10,10
Lenovo Yoga Slim 7 PRO,AMD,Ryzen 7,Integrated AMD Radeon,16 GB GB,DDR5,1 TB,0 GB,windows 11,64 bit,HD 1080p,Realtek codec Stereo speakers optimized with Dolby Audio,61 Wh,6 kg,3 K,yes,"Rp17,499,000","Rp18,989,000",8,4,10,60
Lenovo Ideapad Flex 5i,Intel,Core i3,Integrated Intel UHD Graphics,8 GB GB,DDR4,512 GB,0 GB,windows 11,64 bit,HD 1080p,Realtek codec Stereo speakers optimized with Dolby Audio,525 Wh,4 kg,14 FHD,yes,"Rp10,499,000","Rp11,899,000",12,4,60,30
DELL Vostro 3401,Intel,Core i3,Integrated Intel UHD Graphics,4 GB GB,DDR4,256 GB,1 TB,windows 11,64 bit,HD 720p,2 tuned speakers with Waves MaxxAudio Pro,45 Wh,4 kg,14 FHD,yes,"Rp5,589,000","Rp7,599,000",26,3,37,35
DELL LATITUDE 3410,Intel,Core i3,Integrated Intel UHD Graphics,4 GB GB,DDR4,256 GB,0 GB,windows 11,64 bit,HD 720p,2 tuned speakers with Waves MaxxAudio Pro,65 Wh,4 kg,14 FHD,yes,"Rp6,900,000","Rp9,000,000",23,3,50,10
DELL Inspiron 3511,Intel,Core i3,Integrated Intel UHD Graphics,4 GB GB,DDR4,256 GB,0 GB,windows 11,64 bit,HD 720p,2 tuned speakers with Waves MaxxAudio Pro,65 Wh,5 kg,16 FHD,yes,"Rp5,589,000","Rp8,149,000",31,4,66,63
DELL G15 5511,Intel,Core i5,NVIDIA GEForce RTX,16 GB GB,DDR4,512 GB,0 GB,windows 11,64 bit,HD 720p,2x Stero speakers with Realtek ALC3254,180 Wh,5 kg,16 FHD,yes,"Rp20,699,000",Rp0,0,5,30,3
HP 14s fq0591AU,AMD,Ryzen 3,missing,4 GB GB,DDR4,256 GB,0 GB,windows 11,64 bit,HD 720p,Dual Speakers,45 Wh,4 kg,14 FHD,yes,"Rp6,599,000","Rp6,999,000",6,4,85,153
HP OMEN Gaming 16 n0046AX,AMD,Ryzen 9,missing,32 GB GB,DDR5,1 TB,0 GB,windows 11,64 bit,HD 720p,Audio by Bang and Olufsen DTS X Ultra Dual speakers HP Audio Boost,280 Wh,4 kg,16 FHD,yes,"Rp36,299,000","Rp37,299,000",3,5,83,67
HP Pavilion Aero 13,AMD,Ryzen 5,Integrated AMD Radeon,16 GB GB,DDR4,512 GB,0 GB,windows 11,64 bit,HD 720p,Dual speakers HP Audio Boost,65 Wh,3 kg,14 FHD,yes,"Rp11,999,000","Rp12,500,000",5,4,32,71
HP PAVILION X360 14,Intel,Core i5,Intel Iris X Graphics,8 GB GB,DDR4,512 GB,0 GB,windows 11,64 bit,HD 720p,Dual speakers HP Audio Boost,43 Wh,4 kg,14 FHD,yes,"Rp12,699,000",Rp0,0,3,20,2
HP ENVY X360 13,AMD,Ryzen 7,Integrated AMD Radeon,16 GB GB,DDR4,1 TB,0 GB,windows 11,64 bit,HD 720p,Dual speakers HP Audio Boost,45 Wh,3 kg,13 FHD,yes,"Rp17,399,000",Rp0,0,3,12,20
